사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2023-10,1호선,0150,서울역,700,16,"8,826","9,093","13,369","60,044","42,194","111,515","75,501","226,340","70,759","157,304","67,566","85,381","86,329","78,226","96,010","87,096","94,744","86,624","74,651","76,134","107,152","84,745","118,889","86,405","174,479","95,584","220,828","95,463","123,025","66,792","89,108","48,809","87,580","44,886","59,608","29,468","29,305","14,003","2,333","2,475",2,184,0,0,0,0
2023-10,1호선,0151,시청,60,1,"2,408","5,020","4,325","26,689","8,093","70,011","11,102","186,809","14,674","91,258","17,236","53,117","22,743","51,680","25,560","47,710","31,914","47,308","41,924","39,671","55,857","36,221","68,607","34,333","98,579","33,203","158,616","29,295","69,239","14,841","62,691","9,941","53,963","8,943","32,319","6,830","10,655","4,416",323,855,0,12,0,0,0,0
2023-10,1호선,0152,종각,130,1,"4,233","5,124","4,511","27,548","7,054","102,225","11,198","254,360","13,858","147,831","19,303","66,009","27,989","64,107","33,993","55,341","43,238","54,783","54,667","45,479","68,869","40,409","83,437","41,752","151,197","45,387","214,230","46,895","97,468","23,747","83,237","12,418","83,171","9,386","59,103","6,636","25,846","4,469",773,728,0,1,0,0,0,0
2023-10,1호선,0153,종로3가,194,3,"4,315","2,918","4,333","12,912","6,246","25,968","10,669","66,949","14,904","64,501","22,725","58,663","32,185","70,364","43,916","71,423","51,135","66,401","61,616","58,626","72,867","49,596","81,193","45,783","90,527","43,392","101,823","42,314","62,891","22,416","51,317","12,692","51,704","10,795","40,298","8,197","17,819","5,315","1,243","2,017",2,17,0,0,0,0
2023-10,1호선,0154,종로5가,76,3,"2,202","3,983","3,570","16,568","6,453","42,052","10,524","95,289","15,792","66,554","25,563","64,932","39,076","69,814","50,146","66,586","57,985","61,462","65,390","56,988","70,718","48,714","74,536","43,694","92,751","39,199","101,632","34,386","53,019","19,660","37,122","10,975","32,237","8,013","20,377","6,134","6,011","3,403",274,"1,030",0,3,0,0,0,0
2023-10,1호선,0155,동대문,688,23,"11,493","2,221","9,618","6,755","14,951","12,017","20,657","20,541","19,909","23,460","18,030","26,158","20,354","29,870","24,289","29,765","27,555","26,616","29,087","25,787","29,949","24,223","30,775","23,087","28,476","22,320","25,680","22,333","17,817","21,418","15,062","14,927","13,799","13,295","10,430","12,184","4,866","9,061",555,"2,415",1,221,0,0,0,0
2023-10,1호선,0156,신설동,388,18,"9,245","2,315","9,988","8,178","21,304","22,493","31,140","52,860","22,327","32,651","19,391","22,218","21,086","19,811","23,210","19,784","25,190","20,747","23,971","19,239","25,749","20,947","30,380","22,984","39,743","24,958","49,687","30,045","20,869","22,603","13,794","15,561","12,004","15,576","8,113","13,190","3,693","9,543",289,"2,263",0,0,0,0,0,0
2023-10,1호선,0157,제기동,448,7,"5,314","2,366","8,806","9,208","21,955","20,451","31,517","35,543","24,463","33,576","26,711","39,734","33,942","45,607","40,460","48,269","42,746","51,159","46,264","47,210","50,348","40,099","49,163","34,649","44,044","29,134","37,332","27,247","20,420","18,290","13,198","11,999","8,806","11,327","5,390","9,756","2,210","6,382",111,"1,229",0,0,0,0,0,0
2023-10,1호선,0158,청량리(서울시립대입구),"1,242",43,"11,695","3,199","17,160","15,007","44,530","19,266","54,392","37,368","36,835","36,558","33,752","39,844","37,826","45,393","43,142","48,132","45,961","50,952","47,743","49,353","53,809","48,436","58,114","46,199","53,088","46,985","44,481","52,759","24,940","35,439","19,957","22,799","15,260","20,961","9,399","17,228","3,792","11,137",182,"3,587",1,1,0,0,0,0
